Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4.5 2018-07-24
Statistics Report
Report Run at: August 06 2018 15:21 EDT
"Nutrient data for: Oats (Includes foods for USDA's Food Distribution Program)"
Nutrient,Unit, Value(100g),Data points,Std. Error,Min,Max,df,LB,UB,# Studies,Source,NDB Ref,Last Modified
"Leucine",g,1.284,59,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Lysine",g,0.701,59,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Methionine",g,0.312,60,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Cystine",g,0.408,48,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Phenylalanine",g,0.895,58,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Tyrosine",g,0.573,43,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Valine",g,0.937,59,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Arginine",g,1.192,58,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Histidine",g,0.405,57,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Alanine",g,0.881,43,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Aspartic acid",g,1.448,43,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Glutamic acid",g,3.712,43,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Glycine",g,0.841,43,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Proline",g,0.934,41,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
"Serine",g,0.750,43,--,0.0,0.0,--,--,--,--,"Analytical or derived from analytical",--,10/1989
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,--,--,--,--,"Assumed zero",--,10/1995
Flavonoids
Isoflavones
"Daidzein",mg,0.00,2,--,0.0,0.0,--,--,--,--,--,--,--
"Genistein",mg,0.00,2,--,0.0,0.0,--,--,--,--,--,--,--
"Total isoflavones",mg,0.00,2,--,0.0,0.0,--,--,--,--,--,--,--
Proanthocyanidin
"Proanthocyanidin dimers",mg,0.0,2,--,0.0,0.0,--,--,--,--,--,--,--
"Proanthocyanidin trimers",mg,0.0,2,--,0.0,0.0,--,--,--,--,--,--,--
"Proanthocyanidin 4-6mers",mg,0.0,2,--,0.0,0.0,--,--,--,--,--,--,--
"Proanthocyanidin 7-10mers",mg,0.0,2,--,0.0,0.0,--,--,--,--,--,--,--
"Proanthocyanidin polymers (>10mers)",mg,0.0,2,--,0.0,0.0,--,--,--,--,--,--,--
1,"Gu, L., Kelm, M.A., Hammerstone, J.F., Beecher, G., Holden, J., Haytowitz, D., Gebhardt, S., and Prior, R.L.","Screening foods containing proanthocyanidins and their structural characterization using LC-MS/MS and thiolytic degradation",2003,J. Agric. Food Chem.,51 pp. 7513-7513
2,"Hellstr?m, T?rr?nen, A.R., and Matilla, P.H.","Proanthocyanidins in common food products of plant origin",2009,J. Agric. Food Chem.,57 pp. 7899-7899
3,"Liggins, J., Mulligan, A., Runswick, S., and Bingham, S. A. ","Daidzein and genistein content of cereals.",2002,Euro. J. Clin. Nutr.,56 pp. 961-961
